,Euro,Yuan,Yen,Mexican Peso,Brazilian aReal,South Korean Won,Indian Rupee,Australian Dollar,Swiss Franc,Malaysian Ringgit,Thai Bhat,Singapore Dollar,Danish Kroner,New Zealand Dollar,Sri Lankan Rupee,British Pound,Norwegian Kroner ,Hong Kong Dollar,South African Rand,Swedish Krona,US Dollar
Euro,1,0.555458946,0.566975494,-0.321030004,0.3060548,0.501396351,0.038826857,0.316453286,0.816234681,0.633520932,0.763381453,0.694467668,0.999926625,0.885319322,-0.481807508,0.577621912,0.928618801,0.314629704,0.177062914,0.94393243,
Yuan,0.555458946,1,0.580506884,-0.719356053,0.081861127,0.110222918,-0.647499541,-0.742387277,0.874976307,0.572309876,0.844920026,0.957522024,0.549456375,0.697969056,-0.840036362,-0.201294548,0.43547855,0.55309913,-0.505693165,0.518158085,
Yen,0.566975494,0.580506884,1,-0.274735537,0.474814225,0.023472779,-0.023426167,0.237635118,0.595692565,0.70265146,0.661717948,0.680163798,0.567762801,0.528040304,-0.299230079,-0.046745123,0.589276215,0.330719474,0.179023563,0.594984192,
Mexican Peso,-0.321030004,-0.719356053,-0.274735537,1,0.44521873,0.030801626,0.813955937,0.036667984,-0.706859118,0.067627982,-0.487930834,-0.638914323,-0.290074268,-0.517353567,0.869331527,0.388410765,-0.033536657,-0.535019797,0.741466233,-0.182158742,
Brazilian aReal,0.3060548,0.081861127,0.474814225,0.44521873,1,0.234405032,0.551740588,0.623745899,0.002948134,0.671946061,0.396130064,0.218978853,0.309175141,0.111973825,0.329726649,0.271691952,0.447917865,-0.000155662,0.625178661,0.381819597,
South Korean Won,0.501396351,0.110222918,0.023472779,0.030801626,0.234405032,1,0.137902421,-0.017220236,0.341570283,0.298466797,0.396966391,0.312364849,0.49989547,0.58532478,-0.179076328,0.687258935,0.529124968,-0.036222686,0.255295934,0.620856147,
Indian Rupee,0.038826857,-0.647499541,-0.023426167,0.813955937,0.551740588,0.137902421,1,-0.271055187,-0.484528995,0.132527455,-0.254965814,-0.496654759,0.0504493,-0.270295365,0.781118548,0.549467638,0.227765675,-0.496327026,0.88389726,0.073498963,
Australian Dollar,0.316453286,-0.742387277,0.237635118,0.036667984,0.623745899,-0.017220236,-0.271055187,1,0.303552556,-0.295991429,0.312318445,0.169927819,0.311355655,-0.278085625,0.284214072,0.13843611,0.2668376,0.529388005,0.337816994,-0.163779858,
Swiss Franc,0.816234681,0.874976307,0.595692565,-0.706859118,0.002948134,0.341570283,-0.484528995,0.303552556,1,0.546147308,0.845289604,0.921439169,0.809302088,0.921022776,-0.833201595,0.12973433,0.680948145,0.506913115,-0.311937117,0.764924146,
Malaysian Ringgit,0.633520932,0.572309876,0.70265146,0.067627982,0.671946061,0.298466797,0.132527455,-0.295991429,0.546147308,1,0.727876273,0.681464188,0.630200793,0.562175775,-0.234961292,0.260817226,0.777055687,0.136138584,0.28145844,0.696912373,
Thai Bhat,0.763381453,0.844920026,0.661717948,-0.487930834,0.396130064,0.396966391,-0.254965814,0.312318445,0.845289604,0.727876273,1,0.928610351,0.760108341,0.81786251,-0.613927094,0.157897391,0.687372809,0.434185011,-0.11509588,0.777437462,
Singapore Dollar,0.694467668,0.957522024,0.680163798,-0.638914323,0.218978853,0.312364849,-0.496654759,0.169927819,0.921439169,0.681464188,0.928610351,1,0.688735171,0.818232761,-0.782972507,-0.014207634,0.601930106,0.50811864,-0.317305919,0.697365576,
Danish Kroner,0.999926625,0.549456375,0.567762801,-0.290074268,0.309175141,0.49989547,0.0504493,0.311355655,0.809302088,0.630200793,0.760108341,0.688735171,1,0.880397504,-0.463509468,0.573812589,0.928350109,0.30816585,0.185144428,0.942910389,
New Zealand Dollar,0.885319322,0.697969056,0.528040304,-0.517353567,0.111973825,0.58532478,-0.270295365,-0.278085625,0.921022776,0.562175775,0.81786251,0.818232761,0.880397504,1,-0.684855399,0.398161801,0.793644227,0.418590823,-0.059756117,0.89006571,
Sri Lankan Rupee,-0.481807508,-0.840036362,-0.299230079,0.869331527,0.329726649,-0.179076328,0.781118548,0.284214072,-0.833201595,-0.234961292,-0.613927094,-0.782972507,-0.463509468,-0.684855399,1,0.177958402,-0.303484907,-0.459290254,0.692748764,-0.384565588,
British Pound,0.577621912,-0.201294548,-0.046745123,0.388410765,0.271691952,0.687258935,0.549467638,0.13843611,0.12973433,0.260817226,0.157897391,-0.014207634,0.573812589,0.398161801,0.177958402,1,0.627104231,-0.209575803,0.585952342,0.622096933,
Norwegian Kroner ,0.928618801,0.43547855,0.589276215,-0.033536657,0.447917865,0.529124968,0.227765675,0.2668376,0.680948145,0.777055687,0.687372809,0.601930106,0.928350109,0.793644227,-0.303484907,0.627104231,1,0.160975079,0.365429245,0.925627856,
Hong Kong Dollar,0.314629704,0.55309913,0.330719474,-0.535019797,-0.000155662,-0.036222686,-0.496327026,0.529388005,0.506913115,0.136138584,0.434185011,0.50811864,0.30816585,0.418590823,-0.459290254,-0.209575803,0.160975079,1,-0.277661242,0.256741034,
South African Rand,0.177062914,-0.505693165,0.179023563,0.741466233,0.625178661,0.255295934,0.88389726,0.337816994,-0.311937117,0.28145844,-0.11509588,-0.317305919,0.185144428,-0.059756117,0.692748764,0.585952342,0.365429245,-0.277661242,1,0.271764583,
Swedish Krona,0.94393243,0.518158085,0.594984192,-0.182158742,0.381819597,0.620856147,0.073498963,-0.163779858,0.764924146,0.696912373,0.777437462,0.697365576,0.942910389,0.89006571,-0.384565588,0.622096933,0.925627856,0.256741034,0.271764583,1,
US Dollar,,,,,,,,,,,,,,,,,,,,,
